run	status	exit_code	duration_seconds	accuracy	loss	json	log
main__homogeneous__vanilla__fedavg__noise-0.01__seed-42	PASS	0	current-attempt	0.9609375	0.15919359670951963	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42	PASS	0	current-attempt	0.925	0.30436030998826025	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42	PASS	0	current-attempt	0.9578125	0.24632993377745152	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedprox__noise-0.01__seed-42	PASS	0	current-attempt	0.540625	0.9606019735336304	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedopt__noise-0.01__seed-42	PASS	0	current-attempt	0.359375	1.1029120802879333	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42	PASS	0	current-attempt	0.953125	1.1325476241716885	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.log
main__homogeneous__global-dp__fedavg__noise-0.01__seed-42	PASS	0	current-attempt	0.940625	0.23916386477649212	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.log
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42	PASS	0	current-attempt	0.75	0.6208976864814758	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.log
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42	PASS	0	current-attempt	0.940625	0.2835912951501086	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.log
main__homogeneous__global-dp__fedprox__noise-0.01__seed-42	PASS	0	current-attempt	0.5578125	0.9510888695716858	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-42.log
main__homogeneous__global-dp__fedopt__noise-0.01__seed-42	PASS	0	current-attempt	0.359375	1.074967336654663	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.log
main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42	PASS	0	current-attempt	0.9546875	0.4574632991664657	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__global-dp__fedyogi__noise-0.01__seed-42.log
main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42	PASS	0	current-attempt	0.9578125	0.2213929073885083	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavg__noise-0.01__seed-42.log
main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42	PASS	0	current-attempt	0.76875	0.5736923143267632	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedavgm__noise-0.01__seed-42.log
main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42	PASS	0	current-attempt	0.9453125	0.27011424000374973	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedmedian__noise-0.01__seed-42.log
main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42	PASS	0	current-attempt	0.4984375	1.1741622775793075	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedprox__noise-0.01__seed-42.log
main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42	FAIL	1	90			/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedopt__noise-0.01__seed-42.log
main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42	PASS	0	current-attempt	0.9546875	0.66376755728852	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__metric-privacy__fedyogi__noise-0.01__seed-42.log
main__homogeneous__vanilla__fedavg__noise-0.01__seed-43	PASS	0	current-attempt	0.94375	0.3629816941800527	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43	PASS	0	current-attempt	0.8984375	0.308837766200304	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-43.log
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43	PASS	0	current-attempt	0.9375	0.3733043486252427	/teamspace/studios/this_studio/results/paper_reproduction_runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.json	/teamspace/studios/this_studio/results/paper_reproduction_logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-43.log
