run	final_round	accuracy	loss	json
main__homogeneous__global-dp__fedavg__noise-0.01__seed-42	20	0.940625	0.23916386477649212	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.json
main__homogeneous__global-dp__fedavg__noise-0.01__seed-43	20	0.934375	0.30373870697803795	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-43.json
main__homogeneous__global-dp__fedavg__noise-0.01__seed-44	20	0.9375	0.2306265017017722	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-44.json
main__homogeneous__global-dp__fedavg__noise-0.01__seed-45	20	0.94375	0.22943491116166115	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-45.json
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42	20	0.75	0.6208976864814758	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.json
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43	20	0.7515625	0.5576686561107635	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-43.json
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-44	20	0.7765625	0.5750907167792321	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-44.json
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-45	20	0.775	0.5948600724339486	results/paper_reproduction_runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-45.json
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42	20	0.940625	0.2835912951501086	results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.json
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43	20	0.9265625	0.35366105642169715	results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-43.json
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-44	20	0.94375	0.2523373161442578	results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-44.json
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-45	20	0.940625	0.250091852247715	results/paper_reproduction_runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-45.json
main__homogeneous__global-dp__fedopt__noise-0.01__seed-42	20	0.359375	1.074967336654663	results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-42.json
main__homogeneous__global-dp__fedopt__noise-0.01__seed-43	20	0.359375	1.1579181611537934	results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-43.json
main__homogeneous__global-dp__fedopt__noise-0.01__seed-44	20	0.4953125	44.07766399383545	results/paper_reproduction_runs/main__homogeneous__global-dp__fedopt__noise-0.01__seed-44.json
