run	status	exit_code	duration_seconds	accuracy	loss	macro_f1	macro_precision	macro_auc	run_json	evaluation_json	predictions	log	note
main__homogeneous__vanilla__fedavg__noise-0.01__seed-42	PASS	0	0	0.9625	0.24161938562756405	0.9636085848813208	0.9662177633046698	0.9921465928320606	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedavg__noise-0.01__seed-42.log	validated-existing-detailed-artifacts
main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42	PASS	0	117	0.9375	0.25200222432613373	0.9500111457668664	0.9505185416341604	0.9849552292772757	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedavgm__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42	PASS	0	122	0.953125	0.28748505623079834	0.9570103368750514	0.9585864472761016	0.9897814003867121	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedmedian__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedprox__noise-0.01__seed-42	PASS	0	107	0.5390625	0.9209804713726044	0.2846194792116242	0.2649840334070253	0.7210923750569032	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedprox__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedopt__noise-0.01__seed-42	PASS	0	114	0.35	1.8055785089731216	0.18783258201064262	0.17430762009075262	0.5297235800371493	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedopt__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedavg__noise-0.01__seed-42	PASS	0	131	0.9390625	0.21700981259346008	0.9274761882520608	0.9467036821504587	0.9906313095956352	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedavg__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42	PASS	0	143	0.9703125	0.5126541886010955	0.953677416699107	0.9453248467989034	0.9945992463488407	/teamspace/studios/this_studio/results/runs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__vanilla__fedyogi__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42	PASS	0	125	0.7484375	0.5904871642589569	0.5351664723409768	0.5459055882875763	0.9186521668144757	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedavgm__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42	PASS	0	124	0.940625	0.2860842335037887	0.9282319127692105	0.9509968116239531	0.9849785733778815	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedmedian__noise-0.01__seed-42.log	trained-evaluated-model-deleted
main__homogeneous__global-dp__fedprox__noise-0.01__seed-42	PASS	0	144	0.5546875	0.9156841337680817	0.2953689576154475	0.27657641819034223	0.7364946950947027	/teamspace/studios/this_studio/results/runs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-42.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedprox__noise-0.01__seed-42.evaluation.json	/teamspace/studios/this_studio/results/evaluations/main__homogeneous__global-dp__fedprox__noise-0.01__seed-42.predictions.npz	/teamspace/studios/this_studio/results/logs/main__homogeneous__global-dp__fedprox__noise-0.01__seed-42.log	trained-evaluated-model-deleted
